395	6
426	3
457	1
413	7
444	4
475	1
431	3
400	8
418	4
449	3
387	22
405	6
436	4
467	2
392	10
423	5
361	51
410	4
441	2
379	22
397	3
428	1
366	22
415	2
446	1
384	14
402	2
433	1
371	23
389	5
420	2
451	1
358	36
407	3
438	1
345	47
469	1
376	11
394	3
425	2
363	16
381	9
412	1
443	2
399	1
368	15
417	1
355	21
448	1
386	7
404	1
435	1
342	36
373	9
422	1
391	2
360	15
378	5
347	22
440	1
365	6
383	3
352	17
370	8
375	2
326	35
388	2
357	8
406	1
344	15
362	2
300	67
331	25
318	32
380	1
349	8
442	1
367	4
336	14
385	1
292	58
372	2
354	7
341	11
297	40
359	2
328	20
364	12
315	24
346	4
302	33
333	32
320	224
289	464
382	33
351	100
338	147
369	47
356	66
374	33
294	548
325	206
312	333
343	103
299	387
330	149
286	564
317	231
335	100
348	73
304	296
291	394
322	138
353	51
340	64
309	232
296	261
327	97
283	412
314	158
332	67
301	207
319	111
288	278
337	46
350	31
306	159
293	189
324	66
311	118
280	293
298	129
329	51
334	36
316	78
285	203
272	305
290	136
303	103
321	51
339	18
308	80
277	217
295	81
264	289
313	55
282	143
269	203
287	92
274	164
305	55
230	496
323	23
279	104
248	269
310	42
266	139
284	65
253	191
222	534
271	101
240	244
258	707
227	937
307	411
276	1027
245	2342
263	1375
232	3244
281	804
250	1850
219	4384
268	1052
255	1348
51	4756
74	10380
56	6880
43	2880
79	9785
123	8214
61	7666
66	8028
48	4021
84	9034
97	9049
71	7941
53	5030
89	8021
40	1923
76	7474
120	6292
58	5690
63	6048
94	6861
45	2819
81	6873
125	5300
68	6031
50	3645
99	5891
86	6142
37	1272
73	5696
55	4247
117	4693
60	4529
91	5352
42	1954
78	5231
122	3977
65	4586
47	2615
96	4500
83	4698
70	4403
52	3136
114	3535
101	3824
88	4091
39	1342
119	3014
44	1866
93	3406
80	3599
31	509
124	2572
49	2305
67	3365
98	2912
54	2566
85	3142
36	894
116	2242
109	4196
21	90
278	564
13	14
270	559
26	238
18	44
275	413
111	2695
23	132
10	6
267	398
69	10624
15	24
20	71
12	10
131	9556
4	1
261	191
29	413
127	3448
0	1
257	740
118	9715
128	7133
1	1
141	7589
14	18
7	4
2	1
259	382
34	822
5	2
262	539
8	4
265	773
143	5108
16	29
273	791
130	4670
3	1
260	1011
121	7542
106	3162
19	58
133	6324
6	2
136	8515
9	6
104	4977
144	10162
17	36
11	8
24	168
112	5549
32	695
107	6551
27	312
102	7794
22	112
115	7321
35	1128
110	8665
30	548
92	10476
33	623
105	10146
46	2110
25	215
87	11829
28	313
38	1795
100	11781
41	1308
113	11099
95	12169
108	9342
90	6368
103	2415
64	8232
126	10392
82	11586
170	10621
139	9702
59	3056
152	7045
77	9271
72	3080
134	2101
147	2328
178	1683
129	2309
173	2081
142	2602
62	3493
155	2666
168	2581
75	3998
137	2833
57	3401
150	3096
181	2250
163	3004
132	3125
176	2736
145	3464
158	3566
171	3370
140	3774
153	4064
166	4043
135	4211
179	3632
148	4625
161	4731
174	4453
156	5399
169	5340
138	5652
182	4814
151	6122
164	6173
208	3355
177	5828
146	6822
190	5110
159	7217
172	6999
216	3350
154	8118
185	6317
167	8224
198	5496
180	7669
149	9205
162	9522
193	6759
206	5725
237	2434
175	9232
188	8240
157	10617
201	7189
183	7315
214	5357
165	2523
196	1610
209	797
191	1398
160	2303
204	1065
235	363
217	746
186	1790
199	1475
212	1027
243	359
225	732
256	281
194	1856
207	1441
238	502
220	1001
189	2376
251	383
202	1914
233	693
184	2971
215	1411
246	534
197	2466
228	965
210	1908
241	684
223	1354
254	531
192	3090
205	2528
236	947
187	3907
218	1849
249	720
200	3331
231	1316
213	2507
244	953
226	1819
195	4100
239	1299
221	2466
252	981
234	1811
203	4364
247	1334
229	2411
211	4439
242	1774
224	3298
